comment,author,date,num_likes
인생의 꿀,yyy,2023-01-25T14:46:12Z,0
킹준빈 너무 멋지다,jay 2,2023-01-25T14:45:18Z,0
주우재없으니 너무 섭섭해요,09t gfl,2023-01-25T14:33:15Z,0
"아니 이번에 왜케 웃기냐<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=15m40s"">15:40</a> 쭈펄 갑자기 배우자 사랑고백<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=25m46s"">25:46</a> 또 그이야기<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=27m07s"">27:07</a> 또 그이야기2<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=28m45s"">28:45</a> 이상한 회전목마<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=29m46s"">29:46</a> 너 힙합이야<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=29m58s"">29:58</a> 가짜힙합 주펄(쇼츠각)<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=33m40s"">33:40</a> 개막말<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=37m13s"">37:13</a> 개막말2<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=41m30s"">41:30</a> 이상한 애니 꿋꿋하게 던지는 풍아저씨<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=49m55s"">49:55</a> 상반된 의견<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=54m27s"">54:27</a> 침착맨 미친 신년 애정운<br><a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=54m45s"">54:45</a> 침착맨 신년운세 안좋아서 신난 주펄",Gie Hoeid,2023-01-25T13:41:30Z,0
Gta5마저 파괴시켜버린 주펄..,어니부기,2023-01-25T13:36:12Z,0
"준빈쓰 유퀴즈 나온 거 봤어요, 침착맨 방송과는 꽤 다른 모습에 마음이 아팠습니다, 아픈 기억은 뒤로 날리고 앞으로만 나아가길!",Thomas Choi,2023-01-25T13:35:10Z,0
디토 끝까지 부르는게 킹받네,에이씨엘,2023-01-25T13:03:20Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=50m30s"">50:30</a> 라면꼰대x 꼰대라면o",MiRi,2023-01-25T12:02:56Z,0
준빈쿤 정장에 흰색 손수건 같은건줄 알았는데 마스크였네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,호옹이,2023-01-25T11:59:16Z,0
디토는 무슨 하울링이여 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Yeon,2023-01-25T11:54:27Z,0
준빈 곽 말 진짜 잘한다,ㅇㅇ,2023-01-25T11:52:32Z,1
예전엔 무도였다면 지금은 침착맨이다,K,2023-01-25T11:29:04Z,2
준빈쿤 옆에 당연히 안경 벗은 빠니 님인 줄..,속눈썹,2023-01-25T10:20:29Z,0
마지막 아이돌 노래부르는 군장병들 재현까지 완벽!,현현,2023-01-25T09:43:43Z,0
주풍 ㅋㅋㅋ,가영정,2023-01-25T09:42:39Z,0
마지막 3분을 위한 55분짜리 영상,Yu K,2023-01-25T09:41:38Z,0
곽준빈님은 진짜 목소리톤이 배우같다,박준영,2023-01-25T09:20:34Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=13m00s"">13:00</a>",김민혁,2023-01-25T09:11:40Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=50m15s"">50:15</a> 선율보다 더 선율",캉캉,2023-01-25T09:09:19Z,0
"한동규조커 조커분장 벗으니 잘생겼잖아,,?",킹나무,2023-01-25T09:07:50Z,1
ㅋㅋㅋ,잭스를알려주겠다,2023-01-25T08:50:55Z,0
머야 애국가틀때 태극기 찾는 풍아조씨보고 양말벗겨진 쭈펄 없네 ㅋㅋㅋㅋ<br>이래서 풀버전봐야해 ㅋㅋㅋㅋ,안땡,2023-01-25T08:46:30Z,0
z,월 시,2023-01-25T08:34:17Z,0
준빈쿤 자신있게 영어하는거 넘 보기 좋음. 완벽하게 영어문법을 지켜서 구사해야한다는 생각을 버려요 풍펄,비단골한량,2023-01-25T08:18:46Z,4
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,cloud CASTLE,2023-01-25T08:15:39Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=25m40s"">25:40</a>",judy choi,2023-01-25T07:30:59Z,0
독호민 십 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,장진진,2023-01-25T06:51:15Z,0
미쳤다 디토 마무리 까지 완벽,감자두,2023-01-25T06:28:43Z,0
무도냄새 살짝난다 좋다그냥,ᄉᄉ,2023-01-25T06:27:19Z,1
곽튜브 옆에서 번역하는고 웰케웃기냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,내누군지아니,2023-01-25T06:01:39Z,0
주우재 대상줘,김하연,2023-01-25T05:57:24Z,0
마지막  부분  &quot;팍삭 해진스의 디러&quot; 잘 들었읍니다.,장영민,2023-01-25T05:39:14Z,0
ㅋㅋㅋㅋㅋㅋ시상식 중 젤 재밌었다,SONG,2023-01-25T05:07:03Z,1
아니 버릴 장면이 없네ㅋㅋㅋㅋㅋㅋㅋㅋ,서으뜸,2023-01-25T05:04:58Z,1
"하나는 궤도 줘랔ㅋㅋㅋㅋㅋ<br>특별상으로 열쇠고리 만들어서 궤도님, 주우재님, 민수님들께 선물드리면 좋을 것 같아여",치팅치팅쵸쵸,2023-01-25T05:01:42Z,0
자기들 끼리 참 재밌게 놀고있네염<br>시상식 놀이 의미있을깡....,달거이,2023-01-25T04:44:36Z,0
???,ordo,2023-01-25T08:40:56Z,0
왜이렇게 어렵게 모신거냐고 ㅋㅋ,Ahn Shaun,2023-01-25T04:43:27Z,0
침착맨 무리하지마시고 즐기면서 오래오래 건강하게 방송해줘잉,Yeoni,2023-01-25T04:28:22Z,0
디또 저걸 편집없이 풀로 보녀줄 거라곤 생각 못했는데...,BJ H,2023-01-25T04:28:20Z,0
대화 틈새에 깐족대는 주펄님 너무 웃겨요<br>세상에서 제일 귀여운 동그라미,Lee,2023-01-25T04:25:49Z,2
저작권 절대 안 걸릴 것이라고 판단하셨나요 디토 합창은 걍 틀어버리시넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,치즈탐험신비의세계,2023-01-25T04:13:53Z,0
하 암만 봐도 전무님 태극기 밀당이랑 주펄의 째즈국가가 빠진건 아쉽네요..이게다 국익을 위해서 그러신거겠죠?,봤구나마타타,2023-01-25T04:12:17Z,0
곽튜브 매력둥이ㅋㅋ,김서현,2023-01-25T04:11:44Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=20m00s"">20:00</a>",지수함수e,2023-01-25T04:08:11Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=4m50s"">4:50</a> 침부투 ㅋㅋ",이상현,2023-01-25T04:00:54Z,0
상 받을때 저 무지개이끼도 같이줘서 상패가 무지개색이 되서 더 간지남,침수,2023-01-25T04:00:49Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=29m23s"">29:23</a> 위험발언, 좌표찍었습니다.",Tongki Lee,2023-01-25T03:57:27Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=21m00s"">21:00</a>",록시 미굴디아,2023-01-25T03:53:35Z,0
재밌따..................,Jireh,2023-01-25T03:50:38Z,0
왜 최고민수는 없는가,정재,2023-01-25T03:40:47Z,0
누진세 엔딩무대까지 완벽...,Noth,2023-01-25T03:38:21Z,0
아니 시상식 과정보다 노래 부르는 게 더 웃기는 게 말이 되냐고 ㅋㅋㅋㅋ,Brian Kim,2023-01-25T03:36:52Z,0
준빈쿤 최신순으로 이 댓글도 보려나?? 항상 응원합니다 준빈쿤!!!,똥궁딩잉,2023-01-25T03:31:06Z,0
준빈쿤 말하기 전에 생각했나요?,김민준,2023-01-25T03:26:26Z,1
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=27m07s"">27:07</a> &quot;명분&quot;",김동현,2023-01-25T03:22:31Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=33m45s"">33:45</a><br>트위치 - 사과해<br>유튜브 - 할일없긴해 ㅋㅋ<br>반응 극과극인게 웃기네 ㅋㅋㅋ",적당이,2023-01-25T03:17:22Z,0
다같이 디토 개열심히 부르는게 개웃기네ㅋㅋ,구와아악,2023-01-25T03:05:43Z,0
준빈쿤은 진짜 전설이다,SY,2023-01-25T02:59:06Z,0
준빈쿤 입장하자마자 간신배 웃음 개웃기네..ㅋㅋ,s22울트라그린,2023-01-25T02:53:18Z,0
58분 순삭당했어... 마지막 디토 마무리까지 무쳤다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 세번째 듣는중ㅋㅋㅋㅋㅋ,청아한청아,2023-01-25T02:37:34Z,4
한시간동안 웃다가 갑니다,란팡팡,2023-01-25T02:12:28Z,0
