comment,author,date,num_likes
예전에 전방부터 버스 세우로 갔음.....<br>압박 축구를 포기한 토튼넘은 그냥 아웃이지<br>감독의 문제가 큼..,JK,2023-01-27T16:50:02Z,0
매번 볼때마다 불만이었는데<br>오늘 잘 찝어주셨네요,John Park,2023-01-27T16:26:47Z,0
빅6에서 토트넘은 퇴출하라!,qweq,2023-01-27T16:25:46Z,0
"다이어자리, 에릭센 자리는 무리뉴때도 계속 문제 되던거였고<br><br>콘테가 겨울에 보강했어야 했는데<br>개똥고집 구시대 전술을 위해<br>윙만 산다 시전…<br>결국 터진거미",오징어다리,2023-01-27T16:21:51Z,0
닭집이 본래 수준으로 돌아간 것 뿐. 쏜은 제발 이적하자.,lionel messi,2023-01-27T16:03:22Z,0
발이 조금 느리더라도 공격의 흐름을 보고 과감히 튀어나가서 앞선에서 패스를 끊어줘야 하는데 자신이 없으니까 뒤로 슬슬 물러나면서 오히려 공간을 내 주고 덕분에 더 편안하게 공격이 진행되고 물흐르듯 위험지역까지 내어주는 상황이 반복되고 있음…,D 8550,2023-01-27T16:00:02Z,2
센터백이 다이어인데 전방 압박이 안 된 다는건 축구 팬이라면 다 알듯,젤리사과맛,2023-01-27T15:55:49Z,0
토트넘은 현재 수비보면 전방 압박 어설프게 하느니 그냥 카운터 노리는게 맞을것 같은데요. 3백에서 2명이 느린데 라인을 어떻게 올려요ㅠㅜ 내년에 진짜 3백에서 2명은 좀 바꾸었으면 좋겠내요.,코리앤트,2023-01-27T15:36:08Z,0
김민재 애기하는대<br>민재가 미쳤다고 똥트넘감?<br>나폴리 지금 우승각에 챔스도 내년애 가는대,나다,2023-01-27T15:22:31Z,1
진짜 다이어 대신 김민재 오기만 해도 토트넘은 포백 쓰면서 많이 달라질듯. 이번 여름에 6500만 유로만 또 세리아산 수비수한테 쓰자. 토트넘^^,ヒミズ,2023-01-27T15:13:29Z,0
토트넘은 걍 해리케인 말고 다 문제있음<br>수비수가 수비를 못하고 윙어들도 수비 개못함,Of Drak Fan,2023-01-27T15:11:52Z,0
함축적으로 말하자면 리바운드를 지배하는자가 게임을 지배한다 강백호가 필요,Siu I,2023-01-27T15:06:01Z,1
결론은 다이어가똥이란말임,Dongwook Lee,2023-01-27T15:00:34Z,0
"글쎄, 수비라인을 올려서 토털축구처럼 하자는 것인데, 라인을 올리는건 위험부담이 큼. 맨시티나 파리생제르망이 간혹 상대적으로 약팀에게 비기거나 지는 경우가 나올때, 상대팀들 중에 수비라인을 올려서 그런 강팀들을 상대하는 전략을 구사한 팀은 거의 없을거같음. 있더라도 극소수일거같음. 대체로 선수비후역습이겠지. 그거보다는, 수비는 수비대로 탄탄히 하면서, 수비수가 아닌 나머지 선수들을 영입하거나 기용할때, 패스능력이나 탈압박드리블능력이 우수한 선수들 위주로 공격을 해나가는 전략이 낫지싶음. 지금 문제는 토트넘에 이러한 능력을 가진 선수들이 부족하고, (미들진과 공격수들의) 탈압박의 유기적 조직력이 부족한 것이 문제이지, 해결책을 수비라인을 올려버리는 방식을 취해야한다는 주장은, 현재 토트넘 수비스들이 발빠른 수비수들이 아닌데, 이런 선수들이 홀란드 같은 빠른 공격수들이 침투역습을 스피드로 쉽게 따라잡을수 없는데, 수비라인을 올려서 플레이해야한다는 주장은 공감하기 어렵다. 미들진과 공격수를 뽑을 때도 너무 피지컬이나 수비능력을 우선해서 보고 영입하고 기용하는 것이 더 문제인거 같음. 물론 그런 능력도 어느정도 필요하지만, 미들진과 공격수들 영입과 기용에 있어 가장 우선하고 일차적으로 보아야하는것은, 패스능력, 연계능력이나 탈압박드리블능력이어야함. 수비능력을 일차적으로 우선해서 보아야하는 자리는 수비수들임. 설령 미들진에서 공을 빼앗기더라도 우수한 수비수들이 이를 저지할수 있는 능력을 갖춘 팀이어야함",새영상노지연관심채널들,2023-01-27T14:59:07Z,0
그니까 토트넘아 민재 <br>터키있을 때 영입했어야지 ㅡㅡ^,Walker ON,2023-01-27T14:55:47Z,0
엣날축구,시나르마타,2023-01-27T14:54:35Z,0
콘테 탄핵 가즈아,터프가이,2023-01-27T14:53:56Z,1
"근데 이런 문제점을 콘테 및 선수들도 알고있을텐데, 왜 개선점을 찾지 못하는걸까?",감동의물결,2023-01-27T14:41:33Z,0
측면 = 페리시치 에메르송,티아맷,2023-01-27T14:36:27Z,1
영상 보니 이번 시즌 끝나고 김민재 빅클럽 이적은 확실한 것 같네요,tra pla,2023-01-27T14:33:32Z,0
All press ground(court) 산왕공고,티아맷,2023-01-27T14:32:13Z,0
이번여름에 fa로 풀리는 조르지뉴 데려오는거에 대해서 어떻게 생각하세요? 2년계약정도로,enjoy voyage,2023-01-27T14:21:04Z,0
손흥민 까기 위해 저 드럽게 재미없는 토트넘 경기를 새벽에 실시간으로 보는 손까들은 대체....그 열정에 박수를 보낸다 진짜.,boram lee,2023-01-27T14:20:06Z,3
"7,8위로 마무리 할듯ㅋㅋ",irrjrrhjmr,2023-01-27T14:18:59Z,1
한마디로 정리하면 질낮은 수비력 때문에 수비를 올려서 공격진과 수비진의 간격을 좁혀서 압박을 할 수 없어서 압박이 효과를 발휘하지 못하는거 <br>수비진 안갈아 치우면은 답이없음,이재민,2023-01-27T14:17:51Z,15
"이거 참 아이러니한 얘기인데 수비가 약해서 3명을 세운다?(물론 후방 빌드업을 위함도 있지만) 결국 수비 못하는 팀에서 못하는 수비수 3명 씀으로 인해 스타팅 10명 중 못하는 세 자리를 써버리는 것임. 수비가 약한 팀이라도 차라리 약한 수비 포지션 하나 지우고 포백으로 쓰고 차라리 후방 빌드업 때문이라면 미들에 세 명 쓰는 것이 맞다고 봄. 스타팅만 본다면 벤탄과 호이비에르, 수미로 스킵이나 비수마로 구성하면 나빠 보이지 않은데.( 더구나 비수마는 포백으로 미들 셋에서 수미에서 수비 롤만 맡으면 굉장히 잘함. 브라이튼에서 이미 증명) 그럼 공격 쪽에서도 공을 운반하는 역할까지 맡을 필요가 없어서 공격수 라인도 더 높아질 것이고 공격이나 득점에만 좀더 초점을 맡을 수 있겠지. 근데 콘테가 첼시에서, 인테르에서 해오고 고집해온게 있어서인지 전혀 바뀔 맘이 없어 보임. 아 물론 첼시 스리백하고 우승하던 시즌에 스리백으로 연승 행진하기 전에 포백으로 운영한 적 있었는데 그 때도 죽쓰긴 한거 보면 포백에도 아이디어가 넘치는 감독도 아닌 것 같다. <br><br>결론은 선수 실력 탓만 하기에는 감독 능력도 한계가 있다 생각. 근데 첼시 인테르 유베에선 어떻게 우승했는지 고집이나 융통성이 전혀 없어 보임. 아니면 하나 할줄만 아는 감독일 수도. 물론 그 하나로 우승 경력이 여럿인 감독이긴 하지만... 지금은 그게 전혀 먹히지 않는다는 것이 문제.",퍼삐,2023-01-27T16:49:52Z,0
발이 넘 느리고 발 밑도 않좋은 토트넘~~^^,180 도,2023-01-27T14:11:01Z,2
감독이 졸장이라 그래요. 머 깊게 생각할거 있겠습니까?ㅋㅋ,영미멸,2023-01-27T14:06:53Z,1
콘테전술이 활발한 빡센 전방압박 싫어함.<br>괜히 전방 압박하다가 삐끗해서 위험한것보다<br>그냥 웅크리고 질긴수비로 버티다가 한골넣고 이기겠다는  그냥 이탈리아 수비축구<br><br>그냥 옛날 전술임.,홍우 김,2023-01-27T14:06:40Z,1
@Khwan goh ?? 저렇게 수비적으로 크로스만 올려대도 3위임?? ㅋㅋㅋㅋ <br>딴팀은 얼마나 못하는거야,균,2023-01-27T14:59:40Z,0
한골 넣고 이기겠다는팀 득점이 epl에서 3위냐?,Khwan goh,2023-01-27T14:08:20Z,0
모든 수비의 문제는 다이어에서 시작한다. 수년간 지적되어온 문제고 그것의 개선은 이뤄지지 않고있다. 다이어가 존재하는 한 토트넘은 우승이 불가능하다.,해시브라운,2023-01-27T14:03:00Z,3
정답! 다이어!<br>다이어때문에 수비라인을 못올리니 2~3선간 거리가 벌어짐. 결과적으로 팀압박을 할수가 없음,인과응보,2023-01-27T14:02:15Z,6
다이어가 스피드만 빠르면 될텐데...,화이팅손흥민,2023-01-27T14:12:42Z,0
썸네일보고 다이어생각하며 들어옴,비공,2023-01-27T14:08:03Z,1
근데 단주마가 와서 손흥민 선수를 대체한다 쳐도 경기력에 변화가 없으면 전술 문제로 봐야하는거 아닌지 궁금하네요,술집사장,2023-01-27T14:01:38Z,0
예전에 콘테가 맡은 인터밀란같은경우는 선수들 퀼도 좋았지만 뭣보다 선수들이 자기자리에서 뭘해야할지 알아서 뛰는 느낌이었다<br>지금은 토트넘은 지시없으면 능동적으로 움직이지 못하는 선수들이 많아서 힘들수밖에,S C,2023-01-27T14:01:16Z,8
작년은...?,퍼삐,2023-01-27T16:41:43Z,0
"<a href=""https://www.youtube.com/watch?v=r-p5J9L7dUI&amp;t=4m58s"">4:58</a> ぶたのダンス🐷💃✨<br><a href=""http://youtubeei.com/watch?v=oOSLVSqFCIV"">youtubeei.com/watch?v=oOSLVSqFCIV</a><br>やめてぇ!! さとみくんのライフはもう半分よｯ？！",mechamato amato,2023-01-27T15:23:24Z,0
토트넘은 공격수 영입 보다 좋은 센터백 좋은 공미 좋은 윙백 아놔 시바 다 영입해라 ㅋㅋㅋㅋ,마우스,2023-01-27T13:47:25Z,2
일단 토트넘은 수비가 아이러니 하게 수비를 제일 안함. 압박가담도 못하고 뒤에서 보고 있음. 다이어는 압박엔 약하고 상대방 압박도 잘 못함.,suribi lee,2023-01-27T13:46:49Z,3
"그건 가패하는팀들 다 그렇습니다.<br>윙백들 올라가서 공격에 적극 가담하는건 모두 동일하고, 그때문에 수비 복귀 늦는것도 다 동일합니다만.. 1,2선 자원들의 전방압박 능력과 수비가담, 1차수비 능력이 다르니 상위권 팀들 윙백들보다 더 쳐맞는 것 처럼 보이는겁니다. <br>특히 페리시치 케이스가 그 부분이 도드라지고요. 같은 라인에 있는 윙에서 못해주면 그만큼 윙백한테 부하오는게 현대축구에서의 윙백입니다.",EAHCNUE,2023-01-27T14:43:18Z,0
다이가 무능해서 벌어지는 일... 로메로랑 김민재 였으면 포백으로 라인 끝까지 올린 축구 할 수 있었음,menemene mene,2023-01-27T13:42:59Z,19
월클수비수가 토트넘에 있어도 콘테는 어차피 352로 갑니다 ㅋㅋ 그거말고 다른 전술은 구상못함 ㄹㅇ,크림오브더크랍,2023-01-27T16:31:40Z,0
@shy shy 이제 토트넘은 김민재를 품을 수 없음 ㅋㅋ 어딜 가든 우승권으로 갈 운명이지,불곰뚝배기,2023-01-27T16:11:02Z,0
터키에서 뛸때는 영입할수 있었죠 . 근데 지금은 못하죠 ; 선수가 올 메리트가 하나도 없는데 안오죠,군강,2023-01-27T16:06:20Z,0
@그래 로메로도 데려왔는데 김민재도 가능하죠ㅋㅋ 한국인으로서 가지 않았으면 하지만,shy shy,2023-01-27T16:02:04Z,0
김민재가 이미 월클이라  토트넘이 넘볼수 없는 존재가 되버렷네요,그래,2023-01-27T15:23:56Z,0
쉬운걸 너무 어렵게 풀어가는 전형적인 인간형. ㅋㅌ,김재식,2023-01-27T13:40:55Z,0
5위인데도 욕먹는 신기한 팀,sweetysil,2023-01-27T13:36:23Z,3
