comment,author,date,num_likes
근데죄송한데요 이제 갓 침착맨 입문했는데요...왜 채널이름이 침착맨인거예요~? 지나가지마시공 댓글좀부탁드립니다...,그댄장미,2023-01-27T15:45:04Z,0
채널 주인이 침착맨임,홍정현,2023-01-27T16:16:00Z,0
다들 구두신고 왔을텐데 양말만 신고있는게 웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Elisha Kim,2023-01-27T14:06:33Z,0
"잘 때 듣는 월드컵, 설명회, 나무위키, 만화 스포, 영화 스포 같은거 많이 했으면 좋겠다",ㅇㅁㅎ,2023-01-27T12:56:01Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=12m00s"">12:00</a>",북거,2023-01-27T12:48:56Z,0
"개인뇌피셜)<br>22년에는 메인 미디어, 참여자(연예인)와 뉴 미디어, 참여자(유툽과 크리에이터)와의 새로운 미디어 생태계를 시작하는 한해 였다고 생각함 <br>경계가 없어지고 융합되는 과정 <br>그래서 사실 특별한 콘텐츠는 별로 없었음  메인 미디어는 유명 크리에이터 소개하고 분야 콘텐츠 공감하는 정도 <br>아직 서로 어떻게 공생하는지 테스트 단계정도 인듯 <br>앞으로 어떤 융합으로 새로운 콘텐츠 산업이 생길지 기대 및 궁금",김Hk,2023-01-27T12:14:33Z,0
조커피디님 리액션 좋네요 ㅋㅋㅋ,최문규,2023-01-27T11:33:35Z,0
준빈씨랑 운세 내용 아예 똑같넹,B yo,2023-01-27T11:09:18Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=50m05s"">50:05</a> 분 부터 김풍 아이처럼 웃는거 개귀여움",조수창,2023-01-27T07:35:49Z,0
디토 소름돋네 ㅋㅋㅋㅋㅋㅋㅋㅋ,에버,2023-01-27T05:03:43Z,0
디토를 합창을 해버리넼ㅋㅋㅋㅋ,김오쿠,2023-01-27T03:22:46Z,0
디토부르는거 개웃곁ㅋㅋㅋㅋㅋㅋ큐ㅠ,유키,2023-01-27T02:59:16Z,0
ㅋㅋㅋㅋㅋㅋ너 힙합이얔ㅋㅋㅋㅋㅋㅋㅋ 왤케 웃기냐,도르르,2023-01-26T19:07:52Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=30m36s"">30:36</a>",*•-•*,2023-01-26T18:33:19Z,0
광고주가 침착맨에게 줄맛이 나겠다 카트광고는 ㄹㅇ2박3일 해버리고 빅반만들고 최근에 초밥먹고 빅반한개 조지고 뉴진스 초대석부터 아이티급 주술디토에 친구비내고 하는 채팅어플에 와... 주작가님에 옛날에 침착맨 카페에서 차 시키면 티백 몇번우려먹는다는게 녹아있는듯ㄹㅇ,논두렁나들이,2023-01-26T17:31:19Z,0
유튜브도 꽤나 오래되면서 생기는 불만이 너무 나오는 사람만 나온다더라구요<br>잘 나간다는 유튜버가 여기저기 나오고<br>그 유튜버가 출연했던 채널의 주인이 또 그 사람의 유튜브에 나가주는 돌려막기에 질려한다는 느낌입니다<br>그래서 아예 본인 유튜브만의 유니버스를 확실하게 만들던지<br>아니면 유튜브에서 볼 수 없었던 신선한 인물들이 주기적으로 출연하는게 활로가 되지 않을까 싶습니다,막시무스,2023-01-26T16:35:14Z,0
ditto부를떄 내 22년의 다시 생각나면서 약간 울컥함  ㅜㅜ,그냥,2023-01-26T15:40:12Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=8m28s"">8:28</a>",WideCircle K,2023-01-26T15:11:04Z,0
주호민 양말벗었다 ㄷㄷ,한국 🇰🇷 공신영주,2023-01-26T15:06:47Z,1
(삭제된 댓글입니다),귀여워강아지는,2023-01-26T14:43:48Z,1
주우재 신인상 줘야되는거 아님?,마초마초맨,2023-01-26T14:26:27Z,1
디톸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,상긤,2023-01-26T13:26:01Z,0
아 진짜 너무 웃었네요 ㅋㅋㅋ 수상하신 분들과 침착맨 모두에게 감사드립니다!,Zix Gix,2023-01-26T12:48:29Z,1
아니 ㅋㅋㅋㅋ 피디 두분 왜케 열심히 노래 불러? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,이희광,2023-01-26T12:32:44Z,0
&quot;그 냉부에&quot;,Vix,2023-01-26T12:11:40Z,0
"풍전무님, 바지 허리가 작아서 계속 한번씩 숨 가다듬으시는 거 너무 공감가고(!) 웃겨요 ㅋㅋ","탐색의 시간, 태양초🌶",2023-01-26T11:57:33Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=51m23s"">51:23</a> 마음이 못 생겼다",Galadriel14,2023-01-26T11:43:13Z,0
준빈쿤 오이시쿠나레~,TIME /\adventure,2023-01-26T11:27:44Z,0
마지막에 ditto 부를 때 너무 괴로워서 채팅창만 하염없이 봤다... 끝까지 다 들은 내 자신이 장하다,filthy dragon,2023-01-26T10:55:49Z,1
방랑화가 쌉노잼 류지명pd감잃었냐,성이름,2023-01-26T10:29:30Z,0
준빈쿤 왜케 멋있어 보이지..,김인우,2023-01-26T09:37:35Z,0
준빈쿤 귀여워,Zl존제닌,2023-01-26T09:13:04Z,0
"<a href=""https://www.youtube.com/watch?v=2KxEIeVNOtQ&amp;t=11m55s"">11:55</a> 주호민님. 신나게 부르기로 약속했잖아요",최단기합격 1위 해커스공무원,2023-01-26T07:29:35Z,8
ㅋㅋㅋㅋㅋ 이왜진,SY,2023-01-26T08:03:56Z,0
대화잘하다가 못참고 돌아가면서 상대방 쏘아붙이는거 개웃기네 ㅋㅋㅋ,뚱이뚱땡이,2023-01-26T06:50:01Z,0
