author,time,content,num_likes
봤구나마타타,55:55, 지옥에서 올라온 Dittoㅋㅋㅋㅋㅋ 풀버전으로 꽉꽉 채운 침수자도 아주아주 감사하다,821
라노링,7:55, 영어하는 준빈쿤을 보고 저도 영어에 자신감이 생겼어요!! 야!! 너두 할 수 있어!,101
Gie Hoeid,27:07, 또 그이야기2,46
Gie Hoeid,54:45, 침착맨 신년운세 안좋아서 신난 주펄,46
Gie Hoeid,54:27, 침착맨 미친 신년 애정운,46
Gie Hoeid,49:55, 상반된 의견,46
Gie Hoeid,41:30, 이상한 애니 꿋꿋하게 던지는 풍아저씨,46
Gie Hoeid,37:13, 개막말2,46
Gie Hoeid,33:40, 개막말,46
Gie Hoeid,29:58, 가짜힙합 주펄(쇼츠각),46
Gie Hoeid,29:46, 너 힙합이야,46
Gie Hoeid,28:45, 이상한 회전목마,46
Gie Hoeid,25:46, 또 그이야기,46
Gie Hoeid,15:40, 쭈펄 갑자기 배우자 사랑고백,46
Shane Joo,35:20, ㅋㅋㅋㅋㅋ라이브로 볼 때는 주펄 이렇게 당황하는 줄 몰랐다 이말이야,43
안아Ahn,40:50,,34
block,55:55, 죽음의 디토 시작..,31
강승구,39:13," 진짜 맞는게 유튜브건 웹툰이건 초창기에 나온 것들은 퀄이 방송국이나 출판만화만 못해도 정말 재밌고 애착가는데 오히려 이 시장이 궤도에 오르고 나서 퀄이 기존 메이저 매체처럼  엄청 올라가고,역으로 주류들이 이쪽으로 진출했는데도 새로운 컨텐츠에 정을 주기가 더 어려움..",23
준러쉬,55:57, 역병걸린 구울의 Ditto,22
Stain SOO,48:12,  또국지 진짜 침투력 개웃기네ㅋㅋㅋㅋㅋㅋ,21
1017 stranger,30:42, 여윽시 인생이 힙합인 침착맨답게 디스도 잘하시네요,21
우끼,0:54, 준빈쿤 등장할때 왜이렇게 제리같냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,19
François Petit,7:57, 준빈쿤 영어 광고 들어오면 좋겠닼ㅋㅋㅋㅋㅋ 실전영어는 저게 맞짘ㅋㅋㅋㅋㅋㅋㅋㅋ 너무 웃었넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,18
안산83,2:02, 여기 단체로 까와잉~~ 이날 준빈쿤 너무 커여웠음,17
안산83,55:56, 침투부 버전 ditto 진짜 기괴함ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,17
안산83,28:22, 관통맨;;,17
Ko Mar,55:56, 시상식에서 부두술? 오히려 좋아,16
박찬우,30:10, 주펄 침착맨 일상은 대충 예상이 가서 안 궁금한데 전무님의 일상은 진짜로 궁금함,14
민트초코맛바,8:47, 갑자기 락스타게임즈에 추파 던지는 준빈쿤...,13
JinG,55:56, 살구색 수정구 놓고 주술 시작,12
서하민,00:56, 준빈쿤 폼 미쳤다ㅋㅋㅋㅋㅋ,12
곽보틀 KWAK Bottle,10:00,,10
하루그림하나  1Day1Greem,4:25, 주펄님 머리하셨네 이러네ㅋㅋㅋㅋㅋㅋㅋㅋ,10
룡룡,2:01, 동시에 쑥 내려가는 거 왤케 귀여움 ㅋㅋㅋㅋㅋㅋㅋㅋ,10
곽보틀 KWAK Bottle,10:00, ,10
팜,7:59, 영어는 자신감 콱스쿨,8
최단기합격 1위 해커스공무원,11:55, 주호민님. 신나게 부르기로 약속했잖아요,8
공인중개사·주택관리사도 역시 1위 해커스 ,11:55,  💯💯🔥🔥🔥,7
장자크물소,7:03, 한 동규조커님 쭈구리고 나가는 거 왜이렇게 웃기지 ㅋㅋㅋㅋㅋㅋㅋㅋ,7
꽃무지개,55:55,,6
잭과 콩나물 공장,28:44, 빙빙 아세요?,5
이종호,55:55, 지옥의 장송곡,5
Giants,55:57, 시작부터 야발이 안나올 수 없는 화음...,5
한방에훅간다,55:56, 저주 받은 디토 ㅋㅋㅋㅋㅋㅋ,4
행복한아메바,00:55, &#39;폭력적인 웃음이다.&#39;,4
민병조,21:52," 주씨들이 잘한다고 했는데, 이악물고 주펄은 언급 안해줌 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",3
얘야인생은원래자기생각ㄷH로되지않는법이란,4:52,  침부투라니 같은 하남자로써 못참아 힝구,3
Chamin,3:15, 참... 이렇게 말하면 안되는데 ㅋㅋㅋ 을사오적 사진 찍으러 온것 같네 ㅋㅋㅋㅋ,3
켈시퍼,56:45, 1월의 큰 웃음ㅋㅋㅋㅋ,3
강영훈,55:57,   &quot;가자&quot;,3
쿵쿵따리,55:57, 개 하울링 하는 것 같네,2
히페리,37:12, 곽준빈 유수암쇄권.long ver,2
히페리,29:50, 침착맨 유수암쇄권1 - 쭈팝,2
Phasor,2:01, 마치 짜고 움직인 듯한 움직임,2
PRD,57:13,쯤에 채팅창에서 이것이 지옥이다 ㅇㅈㄹ ㅋㅋㅋㅌㅋㅌㅋㅌㅋㅌㅋ개웃기네ㅜㅜ,2
제갈케인,55:55, 공포의 디토,2
Red Summer,4:52, 침부투 뭐냐구~,2
히페리,30:36, 침착맨 유수암쇄권2,2
Tomy,44:33, 준빈씨는 빨리 왔으면 좋겠어,2
김캠벨문학사,12:35, 펄ㄹㅇㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
L_cuga,13:54, 진짜 ㅈㅗ오오오오온ㄴ나 웃기네ㅔㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
카레안좋아해요,15:33, 천인공로상은 나가라 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
오메가쓰리,4:52, 침부투,2
Milkyway☆,55:55, ~ ,1
해삼,2:30, 어우 정장 입으니까 그저 프로페서X 그자체ㅋㅋㅋㅋ,1
이경준,11:07, 순간 배속된걸줄 알고 재생속도 확인했네ㅋㅋㅋㅋ말 엄청 빠른데 다 들리게 말씀하신다,1
아빠가힘쎄면부가세,7:58,,1
Hyunu,15:40,,1
Hyunu,12:35,,1
Eun Jin Lee,05:28, 곽튜브옆에 빠니보틀도 왓네,1
Vitale,55:52, 뉴침스 - Ditto,1
esther,37:13,,1
